Project.ID,Deployment.Location.ID,SiteName,Camera.Deployment.Start.Date,Camera.Deployment.End.Date,Deployment.ID,Year,Months,Folder,Problem,Camera
UWSS,Site07,7,2020-04-26,2020-06-01,May-20,2020,April;May,May-20,,Bushnell
UWSS,Site07,7,2020-06-01,2020-07-08,Jun-20,2020,May;June;July,Jun-20,,Bushnell
UWSS,Site07,7,2020-07-08,2020-08-04,Jul-20,2020,July;August,Jul-20,,Bushnell
UWSS,Site07,7,2020-08-04,2020-09-29,Oct-20,2020,July;August;September;October,Oct-20,,Bushnell
UWSS,Site07,7,2020-10-14,2020-11-27,Nov-20,2020,October;November,Nov-20,,Bushnell
UWSS,Site07,7,2020-11-27,2021-01-21,Jan-21,2021,"November,December,January",Jan-21,,Bushnell
UWSS,Site07,7,2021-01-21,2021-04-23,Mar-21,2021,January;February;March;April,MarchApril2021,,Bushnell
UWSS,Site07,7,2021-04-23,2021-06-04,Jul-21,2021,April;May;June,Jul-21,,Bushnell
UWSS,Site07,7,2021-07-31,2021-08-28,Sep-21,2021,July;August,Sep-21,,Bushnell
UWSS,Site07,7,2021-09-01,2021-09-16,Oct-21,2021,September,Oct-21,"dead, corrupt images",Bushnell
UWSS,Site07a,7a,2022-08-21,2022-10-02,Sep-22,2022,August;September;October,Sep-22,,Browning
,,,,,,,,,,
,,,,,,,,,,
UWSS,Site08,8,2018-08-09,2018-08-28,Aug-18,2018,August,Aug 25th check,,Bushnell
UWSS,Site08,8,2018-08-28,2018-10-12,Sep-18,2018,August;September; October,September Check,,Bushnell
UWSS,Site08,8,2018-10-12,2018-11-25,Oct-18,2018,October,October November Check,,Bushnell
UWSS,Site08,8,2018-11-27,2018-12-23,Dec-18,2018,October;November;December,Dec-18,,Bushnell
UWSS,Site08,8,2018-12-24,2019-01-27,Jan-19,2019,December;January,Jan-19,,Bushnell
UWSS,Site08,8,2019-01-27,2019-03-22,Mar-19,2019,January;February;March,MarchandApril2019,,Bushnell
UWSS,Site08,8,2019-03-22,2019-06-17,Jun-19,2019,March;April;May,JuneJuly2019,,Bushnell
UWSS,Site08,8,NA,NA,Sep-19,2019,NA,SeptoNov2019,,Bushnell
UWSS,Site08,8,NA,NA,Dec-19,2019,NA,Dec-19,,Bushnell
