Project.ID,Deployment.Location.ID,SiteName,Camera.Deployment.Start.Date,Camera.Deployment.End.Date,Deployment.ID,Year,Months,Folder,Problem,Camera
UWSS,Site06,6,2020-04-26,2020-05-30,20-May,2020,April;May,20-May,,Bushnell
UWSS,Site06,6,2020-05-30,2020-07-08,20-Jun,2020,May;June;July,20-Jun,,Bushnell
UWSS,Site06,6,2020-07-08,2020-10-14,20-Oct,2020,July;August;September;October,20-Oct,,Bushnell
UWSS,Site06,6,2020-10-14,2020-11-27,20-Nov,2020,October;November,20-Nov,,Bushnell
UWSS,Site06,6,2020-11-27,2021-01-19,21-Jan,2021,November;December;January,21-Jan,,Bushnell
UWSS,Site06a,6a,2021-05-10,2021-06-08,21-Jul,2021,May;June,21-Jul,,Bushnell
UWSS,Site06a,6a,2021-07-31,2021-08-11,21-Sep,2021,July;August,21-Sep,full; corrupt media files,Bushnell
UWSS,Site06a,6a,2021-09-01,2021-09-03,21-Oct,2021,September,21-Oct,"Malfunction, date",Bushnell
UWSS,Site06,6,2022-08-21,2022-10-02,22-Sep,2022,August;September;October,22-Sep,,Browning
,,,,,,,,,,
,,,,,,,,,,
UWSS,Site07,7,2018-08-03,2018-08-26,18-Aug,2018,August,Aug 25th check,,Bushnell
UWSS,Site07,7,2018-08-26,2018-10-03,18-Sep,2018,August;September;October,September Check,,Bushnell
UWSS,Site07,7,2018-10-08,2018-10-28,18-Oct,2018,October,October November Check,,Bushnell
UWSS,Site07,7,2018-10-28,2018-12-24,18-Dec,2018,October;November;December,18-Dec,,Bushnell
UWSS,Site07,7,2018-12-24,2019-01-27,19-Jan,2019,December;January,19-Jan,,Bushnell
UWSS,Site07,7,2019-01-27,2019-03-30,19-Mar,2019,January;February;March,MarchandApril2019,,Bushnell
UWSS,Site07,7,2019-03-30,2019-05-19,19-Jun,2019,March;April;May,JuneJuly2019,,Bushnell
UWSS,Site07,7,2019-06-30,2019-09-15,19-Sep,2019,June;July;August;September,SeptoNov2019,,Bushnell
UWSS,Site07,7,2019-09-15,2019-10-26,19-Dec,2019,September;October;November,19-Dec,,Bushnell
UWSS,Site07,7,2019-12-29,2020-01-25,20-Jan,2020,December;January,20-Jan,,Bushnell
UWSS,Site07,7,2020-01-25,2020-02-09,20-Feb,2020,January;February,20-Feb,,Bushnell
UWSS,Site07,7,2020-02-29,2020-04-26,20-Apr,2020,February;March;April,20-Apr,,Bushnell
UWSS,Site07,7,2020-04-26,2020-06-01,20-May,2020,April;May,20-May,,Bushnell
UWSS,Site07,7,2020-06-01,2020-07-08,20-Jun,2020,May;June;July,20-Jun,,Bushnell
UWSS,Site07,7,2020-07-08,2020-08-04,20-Jul,2020,July;August,20-Jul,,Bushnell
UWSS,Site07,7,2020-08-04,2020-09-29,20-Oct,2020,July;August;September;October,20-Oct,,Bushnell
UWSS,Site07,7,2020-10-14,2020-11-27,20-Nov,2020,October;November,20-Nov,,Bushnell
UWSS,Site07,7,2020-11-27,2021-01-21,21-Jan,2021,"November,December,January",21-Jan,,Bushnell
UWSS,Site07,7,2021-01-21,2021-04-23,21-Mar,2021,January;February;March;April,MarchApril2021,,Bushnell
UWSS,Site07,7,2021-04-23,2021-06-04,21-Jul,2021,April;May;June,21-Jul,,Bushnell
UWSS,Site07,7,2021-07-31,2021-08-28,21-Sep,2021,July;August,21-Sep,,Bushnell
UWSS,Site07,7,2021-09-01,2021-09-16,21-Oct,2021,September,21-Oct,"dead, corrupt images",Bushnell
UWSS,Site07a,7a,2022-08-21,2022-10-02,22-Sep,2022,August;September;October,22-Sep,,Browning
,,,,,,,,,,
,,,,,,,,,,
UWSS,Site08,8,2018-08-09,2018-08-28,18-Aug,2018,August,Aug 25th check,,Bushnell
