camera_id,xcor,ycor,tick,deer_id,sex,number-deer,run_num
360,31.622776601683793,15.811388300841896,14930,277,male,360,18
360,31.622776601683793,15.811388300841896,14931,277,male,360,18
367,94.86832980505137,47.43416490252569,14936,49,male,360,18
363,31.622776601683793,110.67971810589327,14937,159,male,360,18
367,94.86832980505137,47.43416490252569,14937,49,male,360,18
363,31.622776601683793,110.67971810589327,14938,159,male,360,18
367,94.86832980505137,47.43416490252569,14938,49,male,360,18
363,31.622776601683793,110.67971810589327,14939,159,male,360,18
367,94.86832980505137,47.43416490252569,14939,49,male,360,18
367,94.86832980505137,47.43416490252569,14940,49,male,360,18
393,347.85054261852173,110.67971810589327,14940,347,male,360,18
363,31.622776601683793,110.67971810589327,14940,159,male,360,18
367,94.86832980505137,47.43416490252569,14941,49,male,360,18
363,31.622776601683793,110.67971810589327,14941,159,male,360,18
393,347.85054261852173,110.67971810589327,14941,347,male,360,18
367,94.86832980505137,47.43416490252569,14942,49,male,360,18
393,347.85054261852173,110.67971810589327,14942,347,male,360,18
363,31.622776601683793,110.67971810589327,14942,159,male,360,18
367,94.86832980505137,47.43416490252569,14943,49,male,360,18
363,31.622776601683793,110.67971810589327,14943,159,male,360,18
393,347.85054261852173,110.67971810589327,14943,347,male,360,18
363,31.622776601683793,110.67971810589327,14944,159,male,360,18
367,94.86832980505137,47.43416490252569,14944,49,male,360,18
367,94.86832980505137,47.43416490252569,14945,306,female,360,18
367,94.86832980505137,47.43416490252569,14945,49,male,360,18
363,31.622776601683793,110.67971810589327,14945,159,male,360,18
363,31.622776601683793,110.67971810589327,14946,159,male,360,18
367,94.86832980505137,47.43416490252569,14946,306,female,360,18
363,31.622776601683793,110.67971810589327,14947,159,male,360,18
367,94.86832980505137,47.43416490252569,14947,306,female,360,18
367,94.86832980505137,47.43416490252569,14948,306,female,360,18
363,31.622776601683793,110.67971810589327,14948,159,male,360,18
367,94.86832980505137,47.43416490252569,14949,306,female,360,18
363,31.622776601683793,110.67971810589327,14949,159,male,360,18
367,94.86832980505137,47.43416490252569,14950,306,female,360,18
367,94.86832980505137,47.43416490252569,14951,306,female,360,18
367,94.86832980505137,47.43416490252569,14952,306,female,360,18
367,94.86832980505137,47.43416490252569,14953,306,female,360,18
367,94.86832980505137,47.43416490252569,14954,306,female,360,18
367,94.86832980505137,47.43416490252569,14955,306,female,360,18
367,94.86832980505137,47.43416490252569,14956,306,female,360,18
390,347.85054261852173,15.811388300841896,14989,314,female,360,18
390,347.85054261852173,15.811388300841896,14990,314,female,360,18
390,347.85054261852173,15.811388300841896,14991,314,female,360,18
390,347.85054261852173,15.811388300841896,14992,314,female,360,18
390,347.85054261852173,15.811388300841896,14993,314,female,360,18
390,347.85054261852173,15.811388300841896,14994,314,female,360,18
390,347.85054261852173,15.811388300841896,14995,314,female,360,18
390,347.85054261852173,15.811388300841896,14996,314,female,360,18
382,221.35943621178654,142.30249470757707,14996,158,male,360,18
390,347.85054261852173,15.811388300841896,14997,314,female,360,18
382,221.35943621178654,142.30249470757707,14997,158,male,360,18
